reporte_centrales_riesgo,monto_reporte_central_riesgo,tiempo_mora_reporte_riesgo,id_riesgo
Sí,440113.0,30 días,112
Sí,570466.0,60 días,113
Sí,116402.0,120 días,114
Sí,640508.0,120 días,115
Sí,392729.0,60 días,116
Sí,80870.0,60 días,117
Sí,230903.0,30 días,118
Sí,655019.0,90 días,119
Sí,719447.0,30 días,120
Sí,556691.0,90 días,121
Sí,452405.0,120 días,122
Sí,751911.0,30 días,123
Sí,146660.0,30 días,124
Sí,940700.0,120 días,125
Sí,192695.0,120 días,126
Sí,37852.0,60 días,127
Sí,894978.0,30 días,128
Sí,729366.0,60 días,129
Sí,617169.0,30 días,130
Sí,86443.0,60 días,131
Sí,662440.0,60 días,132
Sí,673636.0,120 días,133
Sí,640584.0,30 días,134
Sí,693603.0,120 días,135
Sí,479222.0,120 días,136
Sí,357520.0,120 días,137
Sí,718714.0,30 días,138
Sí,503922.0,90 días,139
Sí,240626.0,120 días,140
Sí,856521.0,120 días,141
Sí,484151.0,30 días,142
Sí,738369.0,30 días,143
Sí,893754.0,30 días,144
Sí,796582.0,60 días,145
Sí,295340.0,30 días,146
Sí,752569.0,90 días,147
Sí,86694.0,90 días,148
Sí,18712.0,30 días,149
Sí,297772.0,90 días,150
Sí,631554.0,90 días,151
Sí,669907.0,60 días,152
Sí,658513.0,90 días,153
Sí,958253.0,90 días,154
Sí,936126.0,60 días,155
Sí,532771.0,60 días,156
Sí,391093.0,120 días,157
Sí,328617.0,30 días,158
Sí,606287.0,30 días,159
Sí,472663.0,60 días,160
Sí,854348.0,30 días,161
Sí,357004.0,120 días,162
Sí,428676.0,30 días,163
Sí,196134.0,60 días,164
Sí,625740.0,90 días,165
Sí,825926.0,30 días,166
Sí,735236.0,60 días,167
Sí,299710.0,90 días,168
Sí,621500.0,90 días,169
Sí,255210.0,30 días,170
Sí,24888.0,120 días,171
Sí,345457.0,30 días,172
Sí,520096.0,120 días,173
Sí,322217.0,30 días,174
Sí,245906.0,30 días,175
Sí,438877.0,60 días,176
Sí,16556.0,60 días,177
Sí,465913.0,60 días,178
Sí,583706.0,90 días,179
Sí,658404.0,90 días,180
Sí,798905.0,30 días,181
Sí,382973.0,30 días,182
Sí,730218.0,30 días,183
Sí,362909.0,90 días,184
Sí,613436.0,90 días,185
Sí,197153.0,30 días,186
Sí,396753.0,30 días,187
Sí,869413.0,30 días,188
Sí,800286.0,60 días,189
Sí,730130.0,30 días,190
Sí,89257.0,120 días,191
Sí,140383.0,60 días,192
Sí,198255.0,90 días,193
Sí,132495.0,120 días,194
Sí,452611.0,30 días,195
Sí,720150.0,120 días,196
Sí,103712.0,30 días,197
Sí,388029.0,30 días,198
Sí,535971.0,60 días,199
Sí,881193.0,60 días,200
Sí,579948.0,60 días,201
Sí,397.0,120 días,202
Sí,927348.0,120 días,203
Sí,397953.0,60 días,204
Sí,251670.0,60 días,205
Sí,794974.0,120 días,206
Sí,85803.0,60 días,207
Sí,865424.0,90 días,208
Sí,826186.0,90 días,209
Sí,501126.0,60 días,210
Sí,428742.0,120 días,211
Sí,694470.0,30 días,212
Sí,674751.0,60 días,213
Sí,360685.0,90 días,214
Sí,960954.0,60 días,215
Sí,937312.0,60 días,216
Sí,202251.0,30 días,217
Sí,466708.0,90 días,218
Sí,908723.0,30 días,219
Sí,545119.0,90 días,220
Sí,433668.0,60 días,221
Sí,41052.0,120 días,222
Sí,447294.0,30 días,223
Sí,239797.0,30 días,224
Sí,337656.0,120 días,225
Sí,300874.0,120 días,226
Sí,227816.0,90 días,227
Sí,14993.0,90 días,228
Sí,756352.0,120 días,229
Sí,185019.0,30 días,230
Sí,692410.0,90 días,231
Sí,767611.0,90 días,232
Sí,125143.0,30 días,233
Sí,868716.0,60 días,234
Sí,80972.0,90 días,235
Sí,621059.0,30 días,236
Sí,429442.0,90 días,237
Sí,99948.0,120 días,238
Sí,534068.0,120 días,239
Sí,185974.0,30 días,240
Sí,729302.0,90 días,241
Sí,403963.0,30 días,242
Sí,451022.0,30 días,243
Sí,115716.0,90 días,244
Sí,150624.0,60 días,245
Sí,774472.0,30 días,246
Sí,607166.0,30 días,247
Sí,963558.0,60 días,248
Sí,653809.0,90 días,249
Sí,526490.0,30 días,250
Sí,91861.0,60 días,251
Sí,809536.0,120 días,252
Sí,934216.0,120 días,253
Sí,839875.0,30 días,254
Sí,882031.0,30 días,255
Sí,429460.0,60 días,256
Sí,741067.0,120 días,257
Sí,252343.0,120 días,258
Sí,628429.0,120 días,259
Sí,459305.0,60 días,260
Sí,138672.0,90 días,261
Sí,597213.0,90 días,262
Sí,712484.0,30 días,263
Sí,929340.0,30 días,264
Sí,923506.0,60 días,265
Sí,512744.0,30 días,266
Sí,821200.0,30 días,267
Sí,619760.0,90 días,268
Sí,139610.0,90 días,269
Sí,977878.0,90 días,270
Sí,219039.0,30 días,271
Sí,87078.0,90 días,272
Sí,78547.0,60 días,273
Sí,135996.0,30 días,274
Sí,865767.0,90 días,275
Sí,603939.0,60 días,276
Sí,334225.0,90 días,277
Sí,885784.0,90 días,278
Sí,717000.0,90 días,279
Sí,82867.0,120 días,280
Sí,970899.0,120 días,281
Sí,672065.0,60 días,282
Sí,403675.0,60 días,283
Sí,74018.0,30 días,284
Sí,566031.0,30 días,285
Sí,849090.0,90 días,286
Sí,931180.0,120 días,287
Sí,226336.0,90 días,288
Sí,739920.0,60 días,289
Sí,260321.0,120 días,290
Sí,671363.0,90 días,291
Sí,517101.0,120 días,292
Sí,752028.0,120 días,293
Sí,371865.0,120 días,294
Sí,845452.0,60 días,295
Sí,70839.0,120 días,296
Sí,668093.0,30 días,297
Sí,299581.0,60 días,298
Sí,678964.0,60 días,299
Sí,579714.0,90 días,300
Sí,576373.0,30 días,301
Sí,723280.0,120 días,302
Sí,480547.0,90 días,303
Sí,148182.0,90 días,304
Sí,242893.0,60 días,305
Sí,271577.0,30 días,306
Sí,422757.0,30 días,307
Sí,380472.0,60 días,308
Sí,607529.0,30 días,309
Sí,998468.0,90 días,310
Sí,237515.0,120 días,311
Sí,232349.0,60 días,312
Sí,575554.0,60 días,313
Sí,872470.0,90 días,314
Sí,3583.0,90 días,315
Sí,361232.0,90 días,316
Sí,872686.0,90 días,317
Sí,879808.0,120 días,318
Sí,266944.0,60 días,319
Sí,794724.0,120 días,320
Sí,37097.0,60 días,321
Sí,6362.0,120 días,322
Sí,885124.0,60 días,323
Sí,778754.0,60 días,324
Sí,144183.0,60 días,325
Sí,965371.0,60 días,326
Sí,534392.0,120 días,327
Sí,28652.0,30 días,328
Sí,263899.0,90 días,329
Sí,774498.0,120 días,330
Sí,847337.0,60 días,331
Sí,159450.0,30 días,332
Sí,138670.0,120 días,333
Sí,432388.0,30 días,334
Sí,544256.0,90 días,335
Sí,224641.0,60 días,336
Sí,507034.0,60 días,337
Sí,293247.0,60 días,338
Sí,659287.0,120 días,339
Sí,690465.0,120 días,340
Sí,567120.0,90 días,341
Sí,276583.0,60 días,342
Sí,131429.0,60 días,343
Sí,336785.0,30 días,344
Sí,665880.0,30 días,345
Sí,97490.0,60 días,346
Sí,918361.0,60 días,347
Sí,357442.0,120 días,348
Sí,91165.0,120 días,349
Sí,83724.0,30 días,350
Sí,548187.0,90 días,351
Sí,27273.0,120 días,352
Sí,46011.0,60 días,353
Sí,913332.0,120 días,354
Sí,204632.0,90 días,355
Sí,135060.0,60 días,356
Sí,924730.0,30 días,357
Sí,528357.0,30 días,358
Sí,185925.0,30 días,359
Sí,144226.0,60 días,360
Sí,543271.0,90 días,361
Sí,796533.0,30 días,362
Sí,924355.0,60 días,363
Sí,985692.0,30 días,364
Sí,980004.0,60 días,365
Sí,658583.0,30 días,366
Sí,994947.0,90 días,367
Sí,946874.0,30 días,368
Sí,445337.0,120 días,369
Sí,420721.0,30 días,370
Sí,19074.0,30 días,371
Sí,110646.0,120 días,372
Sí,261368.0,30 días,373
Sí,744666.0,30 días,374
Sí,390264.0,30 días,375
Sí,739628.0,60 días,376
Sí,297068.0,120 días,377
Sí,640761.0,120 días,378
Sí,871331.0,60 días,379
Sí,568886.0,120 días,380
Sí,951723.0,120 días,381
Sí,396254.0,120 días,382
Sí,460693.0,60 días,383
Sí,174702.0,120 días,384
Sí,644415.0,120 días,385
Sí,76154.0,120 días,386
Sí,223299.0,90 días,387
Sí,355370.0,60 días,388
Sí,848453.0,90 días,389
Sí,918456.0,30 días,390
Sí,362852.0,120 días,391
Sí,399181.0,60 días,392
Sí,373516.0,120 días,393
Sí,872845.0,120 días,394
Sí,933401.0,30 días,395
Sí,572657.0,30 días,396
Sí,974042.0,120 días,397
Sí,812719.0,90 días,398
Sí,387871.0,60 días,399
Sí,671555.0,30 días,400
Sí,917785.0,90 días,401
Sí,121808.0,120 días,402
Sí,313127.0,30 días,403
Sí,594591.0,60 días,404
Sí,273973.0,60 días,405
Sí,257663.0,30 días,406
Sí,305530.0,30 días,407
Sí,415235.0,90 días,408
Sí,429796.0,120 días,409
Sí,651491.0,90 días,410
Sí,184849.0,90 días,411
Sí,948694.0,120 días,412
Sí,960931.0,60 días,413
Sí,881212.0,90 días,414
Sí,632999.0,90 días,415
Sí,970941.0,90 días,416
Sí,926533.0,30 días,417
Sí,722211.0,90 días,418
Sí,160003.0,60 días,419
Sí,746677.0,120 días,420
Sí,74468.0,120 días,421
Sí,48554.0,30 días,422
Sí,80214.0,120 días,423
Sí,401942.0,60 días,424
Sí,22401.0,90 días,425
Sí,299751.0,120 días,426
Sí,309765.0,90 días,427
Sí,69946.0,60 días,428
Sí,250172.0,90 días,429
Sí,497899.0,120 días,430
Sí,688430.0,120 días,431
Sí,549794.0,90 días,432
Sí,843708.0,30 días,433
Sí,512910.0,120 días,434
Sí,784123.0,30 días,435
Sí,566305.0,30 días,436
Sí,782175.0,120 días,437
Sí,248254.0,60 días,438
Sí,919397.0,120 días,439
Sí,502782.0,60 días,440
Sí,382462.0,90 días,441
Sí,163365.0,60 días,442
Sí,877895.0,90 días,443
Sí,151014.0,30 días,444
Sí,151034.0,120 días,445
Sí,880471.0,30 días,446
Sí,143433.0,60 días,447
Sí,528663.0,90 días,448
Sí,939617.0,120 días,449
Sí,687175.0,30 días,450
Sí,740656.0,30 días,451
Sí,591496.0,60 días,452
Sí,623421.0,120 días,453
Sí,974208.0,30 días,454
Sí,296174.0,30 días,455
Sí,348145.0,60 días,456
Sí,248926.0,90 días,457
Sí,85351.0,90 días,458
Sí,529203.0,60 días,459
Sí,737269.0,60 días,460
Sí,312294.0,120 días,461
Sí,644953.0,30 días,462
Sí,387603.0,30 días,463
Sí,341865.0,30 días,464
Sí,803232.0,120 días,465
Sí,634279.0,90 días,466
Sí,312465.0,30 días,467
Sí,65026.0,60 días,468
Sí,307204.0,120 días,469
Sí,665335.0,60 días,470
Sí,501.0,60 días,471
Sí,67615.0,60 días,472
Sí,589791.0,90 días,473
Sí,360585.0,120 días,474
Sí,83909.0,60 días,475
Sí,555381.0,90 días,476
Sí,504602.0,120 días,477
Sí,344547.0,60 días,478
Sí,719148.0,120 días,479
Sí,995697.0,60 días,480
Sí,81945.0,90 días,481
Sí,972761.0,30 días,482
Sí,999898.0,90 días,483
Sí,995098.0,120 días,484
Sí,454776.0,30 días,485
Sí,892388.0,30 días,486
Sí,619267.0,30 días,487
Sí,35372.0,120 días,488
Sí,787500.0,90 días,489
Sí,634078.0,120 días,490
Sí,865637.0,120 días,491
Sí,884130.0,60 días,492
Sí,364237.0,120 días,493
Sí,529107.0,30 días,494
Sí,492337.0,30 días,495
Sí,604288.0,90 días,496
Sí,131655.0,120 días,497
Sí,84597.0,90 días,498
Sí,148100.0,30 días,499
Sí,288000.0,120 días,500
Sí,649662.0,90 días,501
Sí,968117.0,120 días,502
Sí,47944.0,30 días,503
